deprivation,covid,logspend,spend
53.428,0,2.002400049753216,7.41
53.428,0,2.385266028693418,10.86
53.428,0,2.1351949527334986,8.46
53.428,0,2.0700769468257736,7.93
53.428,0,2.1243840381723924,8.37
53.428,0,2.2794434880065286,9.77
53.428,0,2.689891898647211,14.73
53.428,0,2.4642729099820557,11.75
53.428,0,2.0963353656048036,8.14
53.428,0,1.9444239089521629,6.99
53.428,0,2.1268917821888267,8.39
53.428,0,2.0965423605938494,8.14
53.428,0,2.2535792963119246,9.52
53.428,0,1.8058491525905764,6.09
53.428,0,2.24147507398932,9.41
53.428,0,2.3913369514259672,10.93
53.428,0,1.7669909602192664,5.85
53.428,0,1.9333639791136883,6.91
53.428,0,2.333342348339639,10.31
53.428,0,2.0798063617665083,8
53.428,0,2.040377537255004,7.69
53.428,0,2.015920610863863,7.51
53.428,0,2.1010441686632597,8.17
53.428,0,2.3216476339408167,10.19
53.428,0,2.579951156980455,13.2
53.428,0,2.1656431445495308,8.72
53.428,0,2.2956080933690948,9.93
53.428,0,2.03670746356641,7.67
53.428,0,1.9837380217856517,7.27
53.428,0,2.1393172617197105,8.49
53.428,0,2.2575362710765017,9.56
53.428,0,2.311351582487047,10.09
53.428,0,2.287287125343419,9.85
53.428,0,2.203148578444101,9.05
53.428,0,2.050015171585959,7.77
53.428,0,2.197096163922892,9
53.428,0,2.4094056453295143,11.13
53.428,0,1.941953461150761,6.97
53.428,0,1.7908872553607533,5.99
53.428,0,2.076787740593773,7.98
53.428,0,2.245444065187996,9.44
53.428,0,2.3582805240984914,10.57
53.428,0,2.2444758819325172,9.44
53.428,0,2.3339612353836188,10.32
53.428,0,2.1193630418456206,8.33
53.428,0,2.2519545619411687,9.51
53.428,0,2.2408539395944866,9.4
53.428,0,1.7813539677880856,5.94
53.428,0,2.312395610974002,10.1
53.428,0,2.058111422389447,7.83
53.428,0,1.9184076540459905,6.81
53.428,0,2.2187300349660926,9.2
53.428,0,2.1022413429286915,8.18
53.428,0,2.379024516230529,10.79
53.428,0,2.3759342106131833,10.76
53.428,0,2.295973499496907,9.93
53.428,0,2.134209796608831,8.45
53.428,0,2.5750001453128903,13.13
53.428,0,2.3727616251343036,10.73
53.428,0,2.0541492320810497,7.8
53.428,0,2.2204327656802696,9.21
53.428,0,1.9641934254741282,7.13
53.428,0,2.6188371418451095,13.72
53.428,0,2.4011410557151946,11.04
53.428,0,2.3311790396281302,10.29
53.428,0,2.226432023346862,9.27
53.428,0,2.3273369846172702,10.25
53.428,0,2.1552687331396236,8.63
53.428,0,1.9296736689027103,6.89
53.428,0,2.4633430608618565,11.74
53.428,0,2.2875056593082297,9.85
53.428,0,2.0882466008873433,8.07
53.428,0,2.449239946185809,11.58
53.428,0,1.8388234464127575,6.29
53.428,0,2.1530491465234647,8.61
53.428,0,2.381583287850629,10.82
53.428,0,2.0317282978639404,7.63
53.428,0,2.5912924476895585,13.35
53.428,0,2.2692091941114643,9.67
53.428,0,2.532426554957287,12.58
53.428,0,2.3642254987795974,10.64
53.428,0,2.0808815846411806,8.01
53.428,0,2.164569144693474,8.71
53.428,0,2.028103929515935,7.6
53.428,0,2.1608859488204906,8.68
53.428,0,1.959400986044403,7.1
53.428,0,2.531187529158122,12.57
53.428,0,2.226104077640761,9.26
53.428,0,2.210457903100565,9.12
53.428,0,1.9086851235488043,6.74
53.428,0,2.394679002077838,10.96
53.428,0,2.1234463928129625,8.36
53.428,0,2.2998556244536204,9.97
53.428,0,2.0335542147261503,7.64
53.428,0,1.7834292232493485,5.95
53.428,0,2.1972394966104507,9
53.428,0,2.1925673220431787,8.96
53.428,0,2.2307882217575705,9.31
53.428,0,1.9451959251003963,7
53.428,0,2.184172493055229,8.88
21.921,0,2.351811088414087,10.5
21.921,0,2.9824979602504493,19.74
21.921,0,2.3589352307166966,10.58
21.921,0,2.4240011608464798,11.29
21.921,0,2.7198831868801636,15.18
21.921,0,2.5179942923245004,12.4
21.921,0,2.443255986975614,11.51
21.921,0,2.6038683068198796,13.52
21.921,0,2.969568530255976,19.48
21.921,0,2.3719137648016035,10.72
21.921,0,2.566649514972826,13.02
21.921,0,2.5369578518228497,12.64
21.921,0,2.895959432016967,18.1
21.921,0,2.963219807914121,19.36
21.921,0,2.5287247641596236,12.54
21.921,0,2.9448283330892004,19.01
21.921,0,2.5760804930015335,13.15
21.921,0,2.50043474655943,12.19
21.921,0,2.4721938473155927,11.85
21.921,0,2.8345805022811175,17.02
21.921,0,2.7513287811702587,15.66
21.921,0,2.3147522594047225,10.12
21.921,0,2.5841796869396254,13.25
21.921,0,2.5494099897769074,12.8
21.921,0,2.5084634566440536,12.29
21.921,0,2.333050248785352,10.31
21.921,0,2.6350334464290825,13.94
21.921,0,2.5198394416803107,12.43
21.921,0,2.69100366039312,14.75
21.921,0,2.858837064791957,17.44
21.921,0,2.4003275246149127,11.03
21.921,0,2.7093728446582537,15.02
21.921,0,2.8175578285199405,16.74
21.921,0,2.8346603674765665,17.02
21.921,0,2.8821112244333307,17.85
21.921,0,2.354119591135747,10.53
21.921,0,2.0817015032651174,8.02
21.921,0,2.5069774705286867,12.27
21.921,0,2.508497783476927,12.29
21.921,0,3.096840782792642,22.13
21.921,0,2.393561238898595,10.95
21.921,0,2.532104025787945,12.58
21.921,0,2.613000595597908,13.64
21.921,0,2.677936669153808,14.56
21.921,0,2.499090098668683,12.17
21.921,0,2.3797352775773644,10.8
21.921,0,2.4509984310727253,11.6
21.921,0,2.419665286140129,11.24
21.921,0,2.273353655786335,9.71
21.921,0,2.125542241838733,8.38
21.921,0,2.3804893612545692,10.81
21.921,0,2.463583941895142,11.75
21.921,0,2.758687022672688,15.78
21.921,0,2.2573053271167187,9.56
21.921,0,2.7154651045718428,15.11
21.921,0,2.64777717767516,14.12
21.921,0,2.603866652367774,13.52
21.921,0,2.2978644717292696,9.95
21.921,0,2.8045542709920297,16.52
21.921,0,2.509550455020328,12.3
21.921,0,2.9009606779163954,18.19
21.921,0,2.5055728463750486,12.25
21.921,0,2.640407065441957,14.02
21.921,0,2.6715786160722,14.46
21.921,0,2.5339237707567692,12.6
21.921,0,2.64991007555611,14.15
21.921,0,2.9185510584778847,18.51
21.921,0,2.60827328990549,13.58
21.921,0,2.4700783692074526,11.82
21.921,0,2.6383140832733987,13.99
21.921,0,2.7067684194586876,14.98
21.921,0,2.816350044146712,16.72
21.921,0,2.5373197348585097,12.65
21.921,0,2.833214423051492,17
21.921,0,2.6935763523214566,14.78
21.921,0,2.597876853931867,13.44
21.921,0,2.7371757916934745,15.44
21.921,0,2.682185578907744,14.62
21.921,0,2.4617118155094424,11.72
21.921,0,2.337639573728046,10.36
21.921,0,2.3216649839361305,10.19
21.921,0,2.089086238446297,8.08
21.921,0,2.672129748131243,14.47
21.921,0,2.2927144095759155,9.9
21.921,0,2.6901327985372077,14.73
21.921,0,2.2844940665077216,9.82
21.921,0,2.9177701052648435,18.5
21.921,0,2.5396231029117873,12.67
21.921,0,2.55135308138091,12.82
21.921,0,2.8234006663984204,16.83
21.921,0,2.7469905606488236,15.6
21.921,0,2.63944544923899,14.01
21.921,0,2.600226037062445,13.47
21.921,0,2.5529111003915848,12.84
21.921,0,2.43193056212316,11.38
21.921,0,2.444803297059178,11.53
21.921,0,2.4303518256286893,11.36
21.921,0,2.6673224723820295,14.4
21.921,0,3.0079438997704906,20.25
21.921,0,2.273127780914554,9.71
30.62,0,2.1275871097689074,8.39
30.62,0,2.221302649566292,9.22
30.62,0,2.5520653800446644,12.83
30.62,0,2.422221219589593,11.27
30.62,0,2.3373584268495273,10.35
30.62,0,2.3609631135245763,10.6
30.62,0,2.1319971283236043,8.43
30.62,0,2.2473262511637824,9.46
30.62,0,2.3441459679837098,10.42
30.62,0,2.2878124642728843,9.85
30.62,0,2.8201813523914305,16.78
30.62,0,2.566647202969241,13.02
30.62,0,2.0316081906389405,7.63
